"id","title","overview","backdrop_path","popularity","poster_path","runtime","release_date","vote_average","vote_count","createdAt","updatedAt"
241239,"A Most Violent Year","A thriller set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built.","/l1JXogJ2q3EAhGUxrnLGb7VyKQJ.jpg",14.722,"/861WY0triAjO0A6VWMhrZ6s7VFG.jpg","124","2014-12-31",6.603,1283,"2023-06-21 14:45:47.826-04","2023-06-21 14:45:47.826-04"
592741,"Up to You","There is a man who has many sex slaves. Another man offers his wife as a sex slave to him and the slave owner agrees. He adds the man's wife to his stable. Alas, the husband comes to reverse his decision and takes his wife back. The reversal of the arrangement causes trauma.","/3ZE5Srpo495n2PDVA92YhBfWUIc.jpg",14.721,"/vin408QRDo99TAnPYvpymS5KifZ.jpg","103","2018-10-13",5.714,7,"2023-06-21 15:08:45.847-04","2023-06-21 15:08:45.847-04"
575479,"An Easy Girl","Naïma has just turned 16. This summer, she will have to decide what she wants from life if she doesn’t want to miss out. Then her cousin Sofia arrives, with an amazing body and a dangerously seductive lifestyle. Naïma desires only to follow her own path, so long as it leads upwards… Despite the warnings of her best friend Dodo, she and Sofia will live through unforgettable encounters during a long summer that will mark them forever.","/mjiTMx9UeOsHqbuvoJnsO4EAUtv.jpg",14.719,"/eV4HVz2m27fJ2VqZwzZd4Yf8Tli.jpg","92","2019-08-28",5.549,307,"2023-06-21 15:02:13.136-04","2023-06-21 15:02:13.136-04"
381341,"Perfect Strangers","During a dinner, a group of friends decide to share whatever message or phone call they will receive during the evening, with unforeseen consequences.","/m3BXK5y41kNap7uBHQjjmHf2W40.jpg",14.717,"/3wknM629Vryofb1HNo2YnLQnQyn.jpg","97","2016-02-11",7.864,4086,"2023-06-21 14:46:05.804-04","2023-06-21 14:46:05.804-04"
682908,"Nice Sister-In-Law 3","Jung-tae has become a successful businessman. One day, he calls for a substitute driver, but the driver was Min-goo, the man who married his crush, Yoo-ri. Jung-tae still hadn't forgotten Yoo-ri and learns that life if tough for this couple. Jung-tae suggests something to Min-goo and that is to let him live with Yoo-ri for a year in return for 300 million won and his house.","/iQWnaBP07DztZNgon6fIxRcPqro.jpg",14.713,"/nW3ZaX4dOkJp5ZkmIbRRMkCT7i0.jpg","82","2018-06-07",6.2,6,"2023-06-21 15:02:23.759-04","2023-06-21 15:02:23.759-04"
937337,"What a Father!","Pedro is a single man in his forties who likes to party, has no children and lives at night. Everything changes when he meets Alin. She mentions to him that she is looking for her dad and that there is a high probability that it is him.","/pCp9kiUEqDBJQiC9o5p2jrfSJbJ.jpg",14.69,"/aZ9qQ3X8xutsWIusMFGKlvkKiyD.jpg","99","2022-02-09",8.3,157,"2023-06-21 15:03:55.871-04","2023-06-21 15:03:55.871-04"
266294,"Sisters","Two disconnected sisters are summoned to clean out their childhood bedrooms before their parents sell their family home.","/bZwEwyjMugTPrkulaIH9NLqDX2w.jpg",14.688,"/hpvHqAiusQtGNDx48dA3z5ejjon.jpg","118","2015-12-18",5.95,1267,"2023-06-21 14:57:13.913-04","2023-06-21 14:57:13.913-04"
10911,"The Guns of Navarone","A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.","/AsBJ7JjNR7wcONrfkUW027C8D5c.jpg",14.686,"/j6VSFnm20GlkUi8yb7hM5Qfc1fA.jpg","158","1961-04-27",7.3,673,"2023-06-21 15:05:45.162-04","2023-06-21 15:05:45.162-04"
513692,"Raging Fire","Cheung Sung-bong is a highly respected cop with a long history of success in dangerous cases. However, his past soon comes back to haunt him when a former protégé resurfaces, seeking revenge.","/LneY7WbNwbIg0PEeKXqe6xcUwR.jpg",14.682,"/nD9zK3nfEUPHKWwFmAaQoLsQYE5.jpg","125","2021-07-28",6.896,159,"2023-06-21 15:00:53.462-04","2023-06-21 15:00:53.462-04"
567629,"Battle of Jangsari","Korean War, September 1950. In order to fight the enemy forces based in the South of the peninsula, General MacArthur orders the start of the Incheon Landing Operation, deploying diversionary attacks in other locations. Without real military forces to spare, 772 very young Korean student soldiers, barely trained, are sent to Jangsari Beach, where they will face a heroic fate and discover the value of friendship. (A sequel to Operation Chromite, released in 2016.)","/5Dm6jAygwwx4Dd254sMIQZ0jwox.jpg",14.68,"/caYipV8vKfj628YKpEk3cHDc2jv.jpg","104","2019-09-25",7,71,"2023-06-21 15:07:09.884-04","2023-06-21 15:07:09.884-04"
329440,"The Forest","Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.","/c6GGumaw3bvhX15NXK30heuCnaC.jpg",14.673,"/1TohqCqMbaiuRLJPrPW0vnQP3lE.jpg","95","2016-01-07",5.219,1611,"2023-06-21 14:42:06.671-04","2023-06-21 14:42:06.671-04"
10344,"The Fly II","Martin Brundle, born of the human/fly, is adopted by his father's place of employment (Bartok Inc.) while the employees simply wait for his mutant chromosomes to come out of their dormant state.","/A17Zb9IIfRPbmIwoy4g7KAzV6mn.jpg",14.666,"/gORksEPahEgO409HYJOZlNVyEpe.jpg","105","1989-02-10",5.558,537,"2023-06-21 15:01:01.619-04","2023-06-21 15:01:01.619-04"
43209,"Ong Bak 3","Ong Bak 3 picks up where Ong Bak 2 had left off. Tien is captured and almost beaten to death before he is saved and brought back to the Kana Khone villagers. There he is taught meditation and how to deal with his Karma, but very soon his arch rival returns challenging Tien for a final duel.","/70Ah12u1iP67hzH1RbQrk0fxam4.jpg",14.647,"/sIVrOJVeLqPz9NwNa0e4FpqJCWK.jpg","95","2010-05-05",5.9,379,"2023-06-21 15:01:36.657-04","2023-06-21 15:01:36.657-04"
233,"The Wanderers","The streets of the Bronx are owned by '60s youth gangs where the joy and pain of adolescence is lived. Philip Kaufman tells his take on the novel by Richard Price about the history of the Italian-American gang ‘The Wanderers.’","/1K9YJzQ6r5nCrOVrjSnAmji8zLc.jpg",14.647,"/oedFtX9hZZWpD7L5wkD0WxSteY2.jpg","117","1979-07-13",7.009,165,"2023-06-21 15:12:45.046-04","2023-06-21 15:12:45.046-04"
531454,"Eurovision Song Contest: The Story of Fire Saga","Two small-town aspiring musicians chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.","/jMO1icztaUUEUApdAQx0cZOt7b8.jpg",14.642,"/9zrbgYyFvwH8sy5mv9eT25xsAzL.jpg","123","2020-06-26",6.422,1240,"2023-06-21 15:02:58.11-04","2023-06-21 15:02:58.11-04"
9909,"Dangerous Minds","Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.","/xSVBNwbntix9UxLtE0i0IjhCJwo.jpg",14.633,"/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg","99","1995-08-11",6.969,1009,"2023-06-21 15:00:00.953-04","2023-06-21 15:00:00.953-04"
